session_old_id,target_type,shot_number,value
17,green,14,9
17,green,15,10
17,black,1,0
17,black,2,4
17,black,3,6
17,black,4,6
17,black,5,6
17,black,6,7
17,black,7,8
17,black,8,8
17,black,9,9
17,black,10,9
18,red,1,10
18,red,2,0
18,red,3,0
18,red,4,0
18,red,5,0
18,green,1,3
18,green,2,5
18,green,3,6
18,green,4,6
18,green,5,6
18,green,6,7
18,green,7,7
18,green,8,7
18,green,9,7
18,green,10,8
18,green,11,8
18,green,12,8
18,green,13,10
18,green,14,10
18,green,15,10
18,black,1,4
18,black,2,7
18,black,3,7
18,black,4,7
18,black,5,7
18,black,6,8
18,black,7,8
18,black,8,8
18,black,9,9
18,black,10,9
19,red,1,0
19,red,2,0
19,red,3,0
19,red,4,0
19,red,5,0
19,green,1,6
19,green,2,6
19,green,3,6
19,green,4,7
19,green,5,8
19,green,6,8
19,green,7,8
19,green,8,8
19,green,9,8
19,green,10,8
19,green,11,9
19,green,12,9
19,green,13,9
19,green,14,9
19,green,15,10
19,black,1,6
19,black,2,8
19,black,3,7
19,black,4,7
19,black,5,7
19,black,6,7
19,black,7,7
19,black,8,10
19,black,9,10
19,black,10,10
20,red,1,0
20,red,2,0
20,red,3,0
20,red,4,0
20,red,5,0
20,green,1,6
20,green,2,7
20,green,3,7
20,green,4,7
20,green,5,8
20,green,6,8
20,green,7,8
20,green,8,8
20,green,9,9
20,green,10,9
20,green,11,9
20,green,12,9
20,green,13,9
20,green,14,9
20,green,15,10
20,black,1,4
20,black,2,4
20,black,3,5
20,black,4,6
20,black,5,6
20,black,6,7
20,black,7,7
20,black,8,8
20,black,9,8
20,black,10,9
29,red,1,0
29,red,2,0
29,red,3,0
29,red,4,0
29,red,5,0
29,green,1,7
29,green,2,7
29,green,3,8
29,green,4,8
29,green,5,8
29,green,6,8
29,green,7,8
29,green,8,8
29,green,9,8
29,green,10,9
29,green,11,9
29,green,12,9
29,green,13,9
29,green,14,10
29,green,15,10
29,black,1,7
29,black,2,7
29,black,3,7
29,black,4,7
29,black,5,8
29,black,6,9
29,black,7,9
29,black,8,9
29,black,9,10
29,black,10,10
21,red,1,0
21,red,2,0
21,red,3,0
21,red,4,0
21,red,5,0
21,green,1,6
21,green,2,6
21,green,3,7
21,green,4,7
21,green,5,8
21,green,6,8
21,green,7,8
21,green,8,8
21,green,9,8
21,green,10,9
21,green,11,9
21,green,12,9
21,green,13,9
21,green,14,10
21,green,15,10
